Frame,Tempo (s),Olhar
1,0.042,CENTRO
2,0.083,CENTRO
3,0.125,CENTRO
4,0.167,CENTRO
5,0.208,CENTRO
6,0.25,CENTRO
7,0.292,CENTRO
8,0.333,CENTRO
9,0.375,CENTRO
10,0.417,CENTRO
11,0.458,CENTRO
12,0.5,CENTRO
13,0.542,CENTRO
14,0.583,CENTRO
15,0.625,CENTRO
16,0.667,CENTRO
17,0.708,CENTRO
18,0.75,CENTRO
19,0.792,CENTRO
20,0.833,CENTRO
21,0.875,CENTRO
22,0.917,CENTRO
23,0.958,CENTRO
24,1.0,CENTRO
25,1.042,DIREITA
26,1.083,DIREITA
27,1.125,CENTRO
28,1.167,CENTRO
29,1.208,CENTRO
30,1.25,CENTRO
31,1.292,CENTRO
32,1.333,CENTRO
33,1.375,CENTRO
34,1.416,CENTRO
35,1.458,CENTRO
36,1.5,CENTRO
37,1.541,CENTRO
38,1.583,CENTRO
39,1.625,CENTRO
40,1.666,CENTRO
41,1.708,CENTRO
42,1.75,CENTRO
43,1.791,CENTRO
44,1.833,CENTRO
45,1.875,CENTRO
46,1.916,CENTRO
47,1.958,CENTRO
48,2.0,CENTRO
49,2.041,CENTRO
50,2.083,CENTRO
51,2.125,CENTRO
52,2.166,CENTRO
53,2.208,CENTRO
54,2.25,CENTRO
55,2.291,CENTRO
56,2.333,CENTRO
57,2.375,CENTRO
58,2.416,CENTRO
59,2.458,CENTRO
60,2.5,CENTRO
61,2.541,DIREITA
62,2.583,CENTRO
63,2.625,CENTRO
64,2.666,CENTRO
65,2.708,CENTRO
66,2.75,CENTRO
67,2.791,CENTRO
68,2.833,CENTRO
69,2.875,CENTRO
70,2.916,CENTRO
71,2.958,CENTRO
72,3.0,CENTRO
73,3.041,CENTRO
74,3.083,CENTRO
75,3.125,DIREITA
76,3.166,DIREITA
77,3.208,DIREITA
78,3.25,DIREITA
79,3.291,DIREITA
80,3.333,DIREITA
81,3.375,DIREITA
82,3.416,DIREITA
83,3.458,DIREITA
84,3.5,DIREITA
85,3.541,DIREITA
86,3.583,DIREITA
87,3.625,DIREITA
88,3.666,DIREITA
89,3.708,DIREITA
90,3.75,DIREITA
91,3.791,DIREITA
92,3.833,DIREITA
93,3.875,DIREITA
94,3.916,DIREITA
95,3.958,DIREITA
96,4.0,DIREITA
97,4.041,DIREITA
98,4.083,DIREITA
99,4.124,DIREITA
100,4.166,DIREITA
101,4.208,DIREITA
102,4.249,DIREITA
103,4.291,DIREITA
104,4.333,DIREITA
105,4.374,DIREITA
106,4.416,DIREITA
107,4.458,DIREITA
108,4.499,DIREITA
109,4.541,DIREITA
110,4.583,DIREITA
111,4.624,DIREITA
112,4.666,DIREITA
113,4.708,DIREITA
114,4.749,DIREITA
115,4.791,DIREITA
116,4.833,DIREITA
117,4.874,DIREITA
118,4.916,DIREITA
119,4.958,DIREITA
120,4.999,DIREITA
121,5.041,DIREITA
122,5.083,DIREITA
123,5.124,DIREITA
124,5.166,DIREITA
125,5.208,DIREITA
126,5.249,DIREITA
127,5.291,DIREITA
128,5.333,DIREITA
129,5.374,DIREITA
130,5.416,DIREITA
131,5.458,DIREITA
132,5.499,DIREITA
133,5.541,DIREITA
134,5.583,DIREITA
135,5.624,DIREITA
136,5.666,DIREITA
137,5.708,DIREITA
138,5.749,DIREITA
139,5.791,DIREITA
140,5.833,DIREITA
141,5.874,DIREITA
142,5.916,DIREITA
143,5.958,DIREITA
144,5.999,DIREITA
145,6.041,DIREITA
146,6.083,DIREITA
147,6.124,DIREITA
148,6.166,DIREITA
149,6.208,DIREITA
150,6.249,DIREITA
151,6.291,DIREITA
152,6.333,DIREITA
153,6.374,DIREITA
154,6.416,DIREITA
155,6.458,DIREITA
156,6.499,DIREITA
157,6.541,CENTRO
158,6.583,CENTRO
159,6.624,CENTRO
160,6.666,CENTRO
161,6.708,CENTRO
162,6.749,CENTRO
163,6.791,CENTRO
164,6.832,CENTRO
165,6.874,CENTRO
166,6.916,CENTRO
167,6.957,CENTRO
168,6.999,CENTRO
169,7.041,CENTRO
170,7.082,CENTRO
171,7.124,CENTRO
172,7.166,CENTRO
173,7.207,CENTRO
174,7.249,CENTRO
175,7.291,CENTRO
176,7.332,CENTRO
177,7.374,CENTRO
178,7.416,CENTRO
179,7.457,CENTRO
180,7.499,CENTRO
181,7.541,CENTRO
182,7.582,CENTRO
183,7.624,CENTRO
184,7.666,CENTRO
185,7.707,CENTRO
186,7.749,CENTRO
187,7.791,CENTRO
188,7.832,CENTRO
189,7.874,CENTRO
190,7.916,CENTRO
191,7.957,CENTRO
192,7.999,CENTRO
193,8.041,CENTRO
194,8.082,CENTRO
195,8.124,CENTRO
196,8.166,CENTRO
197,8.207,CENTRO
198,8.249,CENTRO
199,8.291,CENTRO
200,8.332,CENTRO
201,8.374,CENTRO
202,8.416,CENTRO
203,8.457,CENTRO
204,8.499,CENTRO
205,8.541,DIREITA
206,8.582,DIREITA
207,8.624,CENTRO
208,8.666,CENTRO
209,8.707,CENTRO
210,8.749,CENTRO
211,8.791,CENTRO
212,8.832,CENTRO
213,8.874,CENTRO
214,8.916,CENTRO
215,8.957,CENTRO
216,8.999,ESQUERDA
217,9.041,ESQUERDA
218,9.082,CENTRO
219,9.124,CENTRO
220,9.166,CENTRO
221,9.207,CENTRO
222,9.249,CENTRO
223,9.291,ESQUERDA
224,9.332,ESQUERDA
225,9.374,ESQUERDA
226,9.415,ESQUERDA
227,9.457,ESQUERDA
228,9.499,ESQUERDA
229,9.54,ESQUERDA
230,9.582,ESQUERDA
231,9.624,ESQUERDA
232,9.665,ESQUERDA
233,9.707,ESQUERDA
234,9.749,ESQUERDA
235,9.79,ESQUERDA
236,9.832,ESQUERDA
237,9.874,CENTRO
238,9.915,ESQUERDA
239,9.957,ESQUERDA
240,9.999,CENTRO
241,10.04,ESQUERDA
242,10.082,ESQUERDA
243,10.124,CENTRO
244,10.165,ESQUERDA
245,10.207,ESQUERDA
246,10.249,ESQUERDA
247,10.29,ESQUERDA
248,10.332,ESQUERDA
249,10.374,ESQUERDA
250,10.415,ESQUERDA
251,10.457,ESQUERDA
252,10.499,ESQUERDA
253,10.54,ESQUERDA
254,10.582,ESQUERDA
255,10.624,ESQUERDA
256,10.665,ESQUERDA
257,10.707,ESQUERDA
258,10.749,ESQUERDA
259,10.79,ESQUERDA
260,10.832,ESQUERDA
261,10.874,ESQUERDA
262,10.915,ESQUERDA
263,10.957,ESQUERDA
264,10.999,ESQUERDA
265,11.04,ESQUERDA
266,11.082,CENTRO
267,11.124,CENTRO
268,11.165,CENTRO
269,11.207,CENTRO
270,11.249,CENTRO
271,11.29,CENTRO
272,11.332,DIREITA
273,11.374,CENTRO
274,11.415,DIREITA
275,11.457,DIREITA
276,11.499,DIREITA
277,11.54,DIREITA
278,11.582,DIREITA
279,11.624,DIREITA
280,11.665,DIREITA
281,11.707,DIREITA
282,11.749,DIREITA
283,11.79,DIREITA
284,11.832,DIREITA
285,11.874,DIREITA
286,11.915,DIREITA
287,11.957,DIREITA
288,11.999,DIREITA
289,12.04,DIREITA
290,12.082,DIREITA
291,12.123,DIREITA
292,12.165,DIREITA
293,12.207,DIREITA
294,12.248,DIREITA
295,12.29,DIREITA
296,12.332,DIREITA
297,12.373,DIREITA
298,12.415,DIREITA
299,12.457,DIREITA
300,12.498,DIREITA
301,12.54,DIREITA
302,12.582,DIREITA
303,12.623,DIREITA
304,12.665,DIREITA
305,12.707,DIREITA
306,12.748,DIREITA
307,12.79,DIREITA
308,12.832,DIREITA
309,12.873,DIREITA
310,12.915,DIREITA
311,12.957,DIREITA
312,12.998,DIREITA
313,13.04,DIREITA
314,13.082,DIREITA
315,13.123,DIREITA
316,13.165,DIREITA
317,13.207,DIREITA
318,13.248,DIREITA
319,13.29,DIREITA
320,13.332,DIREITA
321,13.373,DIREITA
322,13.415,DIREITA
