Frame,Tempo (s),Olhar
1,0.041,CENTRO
2,0.083,CENTRO
3,0.124,CENTRO
4,0.166,CENTRO
5,0.207,CENTRO
6,0.249,CENTRO
7,0.29,CENTRO
8,0.331,CENTRO
9,0.373,CENTRO
10,0.414,CENTRO
11,0.456,CENTRO
12,0.497,CENTRO
13,0.538,CENTRO
14,0.58,CENTRO
15,0.621,CENTRO
16,0.663,CENTRO
17,0.704,CENTRO
18,0.746,CENTRO
19,0.787,CENTRO
20,0.828,CENTRO
21,0.87,CENTRO
22,0.911,CENTRO
23,0.953,CENTRO
24,0.994,CENTRO
25,1.035,CENTRO
26,1.077,CENTRO
27,1.118,CENTRO
28,1.16,CENTRO
29,1.201,CENTRO
30,1.243,CENTRO
31,1.284,CENTRO
32,1.325,CENTRO
33,1.367,CENTRO
34,1.408,CENTRO
35,1.45,CENTRO
36,1.491,CENTRO
37,1.532,CENTRO
38,1.574,CENTRO
39,1.615,CENTRO
40,1.657,CENTRO
41,1.698,CENTRO
42,1.74,CENTRO
43,1.781,CENTRO
44,1.822,CENTRO
45,1.864,CENTRO
46,1.905,CENTRO
47,1.947,CENTRO
48,1.988,CENTRO
49,2.029,CENTRO
50,2.071,CENTRO
51,2.112,CENTRO
52,2.154,CENTRO
53,2.195,CENTRO
54,2.237,CENTRO
55,2.278,CENTRO
56,2.319,CENTRO
57,2.361,CENTRO
58,2.402,CENTRO
59,2.444,CENTRO
60,2.485,CENTRO
61,2.526,CENTRO
62,2.568,CENTRO
63,2.609,CENTRO
64,2.651,CENTRO
65,2.692,CENTRO
66,2.734,CENTRO
67,2.775,CENTRO
68,2.816,CENTRO
69,2.858,CENTRO
70,2.899,CENTRO
71,2.941,CENTRO
72,2.982,CENTRO
73,3.024,CENTRO
74,3.065,CENTRO
75,3.106,CENTRO
76,3.148,CENTRO
77,3.189,CENTRO
78,3.231,CENTRO
79,3.272,CENTRO
80,3.313,CENTRO
81,3.355,CENTRO
82,3.396,CENTRO
83,3.438,CENTRO
84,3.479,CENTRO
85,3.521,CENTRO
86,3.562,CENTRO
87,3.603,CENTRO
88,3.645,CENTRO
89,3.686,CENTRO
90,3.728,CENTRO
91,3.769,CENTRO
92,3.81,CENTRO
93,3.852,CENTRO
94,3.893,CENTRO
95,3.935,CENTRO
96,3.976,CENTRO
97,4.018,CENTRO
98,4.059,CENTRO
99,4.1,CENTRO
100,4.142,CENTRO
101,4.183,CENTRO
102,4.225,CENTRO
103,4.266,CENTRO
104,4.307,CENTRO
105,4.349,CENTRO
106,4.39,CENTRO
107,4.432,CENTRO
108,4.473,CENTRO
109,4.515,CENTRO
110,4.556,CENTRO
111,4.597,CENTRO
112,4.639,CENTRO
113,4.68,CENTRO
114,4.722,CENTRO
115,4.763,CENTRO
116,4.804,CENTRO
117,4.846,CENTRO
118,4.887,CENTRO
119,4.929,CENTRO
120,4.97,CENTRO
121,5.012,CENTRO
122,5.053,CENTRO
123,5.094,CENTRO
124,5.136,CENTRO
125,5.177,CENTRO
126,5.219,CENTRO
127,5.26,CENTRO
128,5.301,CENTRO
129,5.343,CENTRO
130,5.384,CENTRO
131,5.426,CENTRO
132,5.467,CENTRO
133,5.509,CENTRO
134,5.55,CENTRO
